sample,fastq_1,fastq_2,antibody,control
LuCaP_77_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105404_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105404_2.fastq.gz,FOXA1,LuCaP_77_INPUT
LuCaP_136CR_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105383_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105383_2.fastq.gz,FOXA1,LuCaP_136CR_INPUT
LuCaP_136_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105384_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105384_2.fastq.gz,FOXA1,LuCaP_136_INPUT
LuCaP_145.1_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105386_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105386_2.fastq.gz,FOXA1,LuCaP_145.1_INPUT
LuCaP_145.2_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105387_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105387_2.fastq.gz,FOXA1,LuCaP_145.2_INPUT
LuCaP_173.1_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105392_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105392_2.fastq.gz,FOXA1,LuCaP_173.1_INPUT
LuCaP_173.2_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105393_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105393_2.fastq.gz,FOXA1,LuCaP_173.2_INPUT
LuCaP_176_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105394_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105394_2.fastq.gz,FOXA1,LuCaP_176_INPUT
LuCaP_189.3_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105395_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105395_2.fastq.gz,FOXA1,LuCaP_189.3_INPUT
LuCaP_189.4_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105396_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105396_2.fastq.gz,FOXA1,LuCaP_189.4_INPUT
LuCaP_208.1_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105397_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105397_2.fastq.gz,FOXA1,LuCaP_208.1_INPUT
LuCaP_70CR_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105401_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105401_2.fastq.gz,FOXA1,LuCaP_70CR_INPUT
LuCaP_78CR_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105405_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105405_2.fastq.gz,FOXA1,LuCaP_78CR_INPUT
LuCaP_81CR_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105407_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105407_2.fastq.gz,FOXA1,LuCaP_81CR_INPUT
LuCaP_81_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105408_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105408_2.fastq.gz,FOXA1,LuCaP_81_INPUT
LuCaP_93_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105411_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105411_2.fastq.gz,FOXA1,LuCaP_93_INPUT
LuCaP_141_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105385_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105385_2.fastq.gz,FOXA1,LuCaP_141_INPUT
LuCaP_167CR_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105388_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105388_2.fastq.gz,FOXA1,LuCaP_167CR_INPUT
LuCaP_167_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105389_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105389_2.fastq.gz,FOXA1,LuCaP_167_INPUT
LuCaP_170.2_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105390_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105390_2.fastq.gz,FOXA1,LuCaP_170.2_INPUT
LuCaP_170.3_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105391_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105391_2.fastq.gz,FOXA1,LuCaP_170.3_INPUT
LuCaP_49_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105399_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105399_2.fastq.gz,FOXA1,LuCaP_49_INPUT
LuCaP_58_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105400_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105400_2.fastq.gz,FOXA1,LuCaP_58_INPUT
LuCaP_70_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105402_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105402_2.fastq.gz,FOXA1,LuCaP_70_INPUT
LuCaP_78_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105406_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105406_2.fastq.gz,FOXA1,LuCaP_78_INPUT
LuCaP_86.2_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105409_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105409_2.fastq.gz,FOXA1,LuCaP_86.2_INPUT
LuCaP_92_FOXA1,/data/LGCP/freedman-chip/sra-files/SRR13105410_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105410_2.fastq.gz,FOXA1,LuCaP_92_INPUT
LuCaP_145.1_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105435_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105435_2.fastq.gz,,
LuCaP_170.3_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105440_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105440_2.fastq.gz,,
LuCaP_81CR_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105455_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105455_2.fastq.gz,,
LuCaP_93_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105459_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105459_2.fastq.gz,,
LuCaP_136CR_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105432_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105432_2.fastq.gz,,
LuCaP_141_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105434_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105434_2.fastq.gz,,
LuCaP_167CR_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105437_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105437_2.fastq.gz,,
LuCaP_170.2_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105439_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105439_2.fastq.gz,,
LuCaP_173.2_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105442_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105442_2.fastq.gz,,
LuCaP_208.1_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105446_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105446_2.fastq.gz,,
LuCaP_70_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105450_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105450_2.fastq.gz,,
LuCaP_77CR_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105451_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105451_2.fastq.gz,,
LuCaP_77_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105452_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105452_2.fastq.gz,,
LuCaP_78CR_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105453_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105453_2.fastq.gz,,
LuCaP_78_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105454_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105454_2.fastq.gz,,
LuCaP_86.2_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105457_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105457_2.fastq.gz,,
LuCaP_92_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105458_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105458_2.fastq.gz,,
LuCaP_136_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105433_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105433_2.fastq.gz,,
LuCaP_145.2_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105436_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105436_2.fastq.gz,,
LuCaP_167_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105438_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105438_2.fastq.gz,,
LuCaP_173.1_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105441_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105441_2.fastq.gz,,
LuCaP_176_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105443_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105443_2.fastq.gz,,
LuCaP_189.3_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105444_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105444_2.fastq.gz,,
LuCaP_189.4_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105445_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105445_2.fastq.gz,,
LuCaP_49_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105447_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105447_2.fastq.gz,,
LuCaP_58_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105448_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105448_2.fastq.gz,,
LuCaP_70CR_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105449_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105449_2.fastq.gz,,
LuCaP_81_INPUT,/data/LGCP/freedman-chip/sra-files/SRR13105456_1.fastq.gz,/data/LGCP/freedman-chip/sra-files/SRR13105456_2.fastq.gz,,
