"","Loading","PC1.v","PC2.v"
"181","HRH3",0.024394451,-0.012457492
"182","AURKB",0.024360784,0.012595517
"183","KIF5A",0.024357895,-0.006119888
"184","C11orf71",0.024355165,-0.003203212
"185","GPRIN1",0.024281108,0.010267017
"186","FAM72D",0.024237001,0.014503126
"187","CLN3",0.024224392,-0.00628568
"188","EZH2",0.024212088,0.00857
"189","POLQ",0.024204135,0.008120202
"190","MCM10",0.024143955,0.012446165
"191","NEUROD4",0.024066794,-0.000737179
"192","IGF2BP3",0.024061919,0.02794381
"193","MRPS17",0.024033032,0.000404459
"194","CHGB",0.024016183,-0.016779896
"195","HOXB9",0.023948191,-0.008332033
"196","MKI67",0.023937503,0.011429411
"197","CDCA2",0.023908061,0.011604309
"198","BRSK2",0.023863694,-0.00541552
"199","RDM1",0.023855256,0.006750545
"200","NUSAP1",0.023849825,0.010039122
"201","TRIM67",0.023778019,0.001499485
"202","SKA3",0.023727761,0.009952716
"203","KIFC1",0.023700102,0.011293344
"204","TMEM145",0.023606288,-0.001806781
"205","EPHA8",0.023547583,-0.004431814
"206","KIF20A",0.023541538,0.013040854
"207","FAM72B",0.023511178,0.012430308
"208","LHFPL5",0.023444866,0.006198715
"209","TMEM63C",0.02341774,0.004292543
"210","C12orf56",0.023399294,-0.007193622
"211","GP1BB",0.023357326,0.001158192
"212","ZNF695",0.023337685,0.001822752
"213","KCNH8",0.023323579,-0.00539503
"214","RIMBP2",0.023309941,-0.012751605
"215","CDKN3",0.023300084,0.011167332
"216","SPAG5",0.023269876,0.008670249
"217","MYT1L",0.023236368,-0.001046563
"218","CDC45",0.023233194,0.01099255
"219","SLC35D3",0.023229952,-0.000724868
"220","DLGAP3",0.023218867,0.00401088
"221","CNIH2",0.023203901,0.005733179
"222","E2F8",0.023143401,0.012166042
"223","SHD",0.023121107,0.004071343
"224","KIF15",0.023097049,0.007021992
"225","NPPA",0.023050684,0.00159126
"226","MPPED1",0.022950776,-0.016585143
"227","NEUROG2",0.022936995,0.002583776
"228","DLX2",0.02291451,-0.007070219
"229","MNX1",0.022911056,0.00073116
"230","FOXM1",0.022900226,0.011386037
"231","RIPPLY3",0.022895877,-0.002201649
"232","CDCA8",0.022872264,0.010407482
"233","MAGEA6",0.022857835,0.007491493
"234","GPR19",0.022855467,0.011771757
"235","CDKN2A",0.022852353,0.011426776
"236","IGFBPL1",0.022834429,0.01117179
"237","BUB1",0.022758707,0.013864737
"238","SPC24",0.022706925,0.008219428
"239","GRM8",0.022669322,0.003606058
"240","BEX1",0.022645525,-0.010866019
"241","TEX15",0.022640775,0.001003944
"242","NCAPH",0.022620002,0.012703229
"243","HTR3A",0.022605039,0.015246601
"244","ATOH7",0.022594646,0.001633869
"245","DDC",0.022552498,0.005207715
"246","OPRD1",0.022516966,0.005986902
"247","WDR62",0.022488703,0.009724922
"248","ATCAY",0.022452109,-0.032619144
"249","ASF1B",0.022380986,0.011862212
"250","TCERG1L",0.022343372,-0.016126137
"251","CDCA3",0.02229852,0.00655465
"252","CCNA2",0.022284748,0.010781891
"253","HMMR",0.022234184,0.0119355
"254","PPFIA4",0.022208688,0.002311056
"255","CEP55",0.022195443,0.016286888
"256","PLK1",0.022174442,0.01235057
"257","HGFAC",0.02217146,-0.002084449
"258","HOXB8",0.022150176,0.000769507
"259","RAB3B",0.022138335,-0.032543941
"260","PROX1",0.022119299,0.005145062
"261","HMX2",0.022110891,-0.004104619
"262","CENPI",0.022100721,0.009245741
"263","NEUROG3",0.022098062,0.004616565
"264","CDCA5",0.022056001,0.010644905
"265","KCNK16",0.021999468,0.004547837
"266","ESCO2",0.021993632,0.01039758
"267","CCNB2",0.021964147,0.007630982
"268","DRD2",0.021959542,-0.010589527
"269","KCNK12",0.021955954,-0.001455327
"270","NAT16",0.021951468,-0.00174909
"271","NXPH1",0.021945514,0.000924354
"272","GDAP1L1",0.021907903,-0.003517659
"273","MAGEA2",0.021836073,0.006028475
"274","MKRN3",0.021832189,0.003081984
"275","NRXN1",0.021825266,-0.018322543
"276","MEX3A",0.021784766,0.000985483
"277","FOXD1",0.021784237,0.000764458
"278","UCHL1",0.021766214,0.003258078
"279","MMP12",0.021755387,0.022912239
"280","CALB1",0.021746471,0.002316992
"281","CER1",0.021694182,0.001616372
"282","GRIK3",0.021666884,-0.014033378
"283","ORC6",0.021656906,0.00625546
"284","CBLN2",0.021641844,-0.01515955
"285","DIRAS2",0.021549417,-0.003151699
"286","PRC1",0.021457175,0.006894781
"287","MGAT5B",0.021416188,0.007126889
