Loading,PC1.v,PC2.v
NXPH1,0.021945514,9.24354e-4
GDAP1L1,0.021907903,-0.003517659
MAGEA2,0.021836073,0.006028475
MKRN3,0.021832189,0.003081984
NRXN1,0.021825266,-0.018322543
MEX3A,0.021784766,9.85483e-4
FOXD1,0.021784237,7.64458e-4
UCHL1,0.021766214,0.003258078
MMP12,0.021755387,0.022912239
CALB1,0.021746471,0.002316992
CER1,0.021694182,0.001616372
GRIK3,0.021666884,-0.014033378000000001
ORC6,0.021656906,0.00625546
CBLN2,0.021641844,-0.01515955
DIRAS2,0.021549417,-0.003151699
PRC1,0.021457175,0.006894781
MGAT5B,0.021416188,0.007126889
CBX2,0.021412626,0.008372462
CCDC177,0.021353333,0.001625591
CALCB,0.021349124,-3.34e-5
TPH1,0.021337548,-0.007230035
PAX5,0.021336613,0.008453707
CENPE,0.021329469,0.006304302
SCN8A,0.021325237,-0.006482534
CNTNAP5,0.021284863,-0.007313768
PIF1,0.021272951,0.003506984
HIST1H2BH,0.021272093,4.53755e-4
PTTG1,0.021262228,0.012884039
ADAMTS18,0.021223721,-0.002879442
UBE2T,0.021206199,0.007569108
ACBD7,0.021182813,0.002820129
T,0.021082431,0.005643728
UNC5A,0.021056075,-0.003252379
USP41,0.02105275,0.005853921
ADAMTS14,0.021048,0.012702813
FAM163B,0.021042547,-8.09729e-4
DSCAM,0.021036937,0.003346338
CRYBA2,0.021016126,-0.014234501
SCRT1,0.020927834,-0.00225894
CAMK2B,0.020915813,-0.024332639
PHF21B,0.02087807,-0.025576726
GHRH,0.020862773,0.002944236
CDK5R1,0.020862117,0.005037344
DDX25,0.020839544,0.002898605
OGDHL,0.020828812,-0.020403247
KCNK10,0.020795412,-0.002426137
CDK1,0.020777904,0.011501062
BRIP1,0.020755574,0.005733013
C16orf59,0.020754111,0.002947349
ALX3,0.020733693,0.004032252
ADD2,0.020597525,0.003033096
KIRREL2,0.02059273,0.007845239
APC2,0.020572948,-0.003780606
GRM2,0.020567549,-8.61855e-4
GFY,0.020566472,0.005119516
RAB39A,0.020558624,0.00779055
XRCC2,0.020552346,0.00274134
RGS7,0.020530574,0.003553785
TICRR,0.020528812,0.003184368
EMX1,0.020511565,7.00914e-4
CENPU,0.02049833,0.007015635
VIL1,0.020485846,0.011464633
ERCC6L,0.020465686,0.004641267
ATP2B3,0.020465034,-3.63389e-4
CENPK,0.02045345,0.010214732
LRTM2,0.020428799,-0.002427671
SCGN,0.020377663,-0.02280873
PRDM13,0.020350448,0.005222722
PDIA2,0.02032249,-0.003113234
KIF11,0.020262521,0.007695854
OTOG,0.020256958,0.003751427
RCOR2,0.020222324,0.002040117
COL22A1,0.020195036,-0.012057648
VWA5B2,0.020149393,-0.010704582
ARHGAP11A,0.020133736,0.008725025
NEURL1,0.020123581,-0.0045422
ISL1,0.020108589,-0.028605577
FUT9,0.020108177,-0.013270403
SLC17A6,0.020100338,0.002517701
CELF4,0.020085495,0.002823192
ANLN,0.020078382,0.011577795
DLX5,0.020070156,-0.011120211
DTL,0.020053836,0.012277284
AMER2,0.020016213,-0.005248222
DRAXIN,0.019996657,0.004099877
OTP,0.01998913,0.00175915
PCDH8,0.019986116,-0.020557876
INSM2,0.019984824,0.002830722
KIF23,0.019977321,0.009397726
NDC80,0.019937834,-0.001636353
UNC80,0.019934463,-0.023194881
KIAA1549L,0.01993161,0.003107176
TYMS,0.019926542,0.00749194
SCN2A,0.019893665,-0.006792505
HELLS,0.019889918,0.003503444
CA9,0.019888204,0.013842641
FOXB1,0.019876935,0.010892788
AP3B2,0.019866673,-0.01163354
SP9,0.019844482,0.003149771
C1QL1,0.019810386,-0.009487481
PTPRH,0.019787998,0.012192827
PKMYT1,0.019681628,0.005840218
CDC6,0.019661159,0.006581791
DPP10,0.019652635,0.018593913
STMN2,0.019633485,-0.005779532
3-Sep,0.019613864,-9.00418e-4
KCNT1,0.019596398,0.001068998
EME1,0.019590941,0.006941636
OIP5,0.019563347,0.008187515
KLHDC8A,0.019562555,0.00480034
SNAP25,0.019512991,-0.007582115
COL2A1,0.019511184,-0.01683738
CRABP1,0.019503943,-0.007356556
DMBX1,0.019493415,0.006817887
GINS1,0.019478079,0.005231441
ZWINT,0.019447921,0.006574201
KISS1R,0.019420897,0.009050876
CNTNAP2,0.019380213,-0.023772704
SALL1,0.019376445,-0.015956679
ZACN,0.019360938,-0.012300688
RAX,0.019330644,0.001387257
RIPPLY2,0.019274781,-0.006753754
FANCA,0.019253891,0.012061564
NKAIN1,0.019237463,-0.021890969
FSTL5,0.019218935,0.002149509
C1orf127,0.019194509,0.012180262
KCNJ6,0.019162131,-0.010874631
SNCB,0.019149231,0.002742809
ST8SIA2,0.019143445,-0.002786159
TTBK1,0.01914252,-0.006043742
MAGEA12,0.019123384,0.004984697
TFR2,0.019063861,0.010884033
CDT1,0.019061168,0.007345735
ORC1,0.019053146,0.009208004
MAGEA2B,0.019019397,0.005124468
NTN3,0.018996792,-0.002569744
FAM72A,0.01899611,0.012136157
STIL,0.018988911,0.003027952
ARHGAP33,0.018960196,-0.002772962
PPM1E,0.018957639,-0.011740831
MXD3,0.018902745,0.004203555
CHRM4,0.018901562,0.00922955
E2F1,0.01889617,0.011006976
SHISA8,0.018879193,-0.001689004
BRSK1,0.018877012,-0.008579142
STMN1,0.018844971,0.008667402
CHRNA3,0.018830648,0.002825452
FBF1,0.018812666,-0.009464223
BSN,0.018799296,-0.005172283
GINS2,0.018797522,0.001204282
NCAN,0.01879733,-0.001574374
B3GALT5,0.018794944,-0.009789893
MATR3,0.018772755,-0.005272915
SCG2,0.018719355,-0.004975406
ELAVL2,0.018697867,-0.008428504
GSG2,0.018688643,0.0119265
UGT8,0.018682677,0.013566153
AURKA,0.01866968,0.011326457
CPA5,0.018646337,0.004318902
NR0B1,0.018630032,0.007072378
ZNF367,0.01861498,0.004856982
MAD2L1,0.018575705,0.003994781
CDH2,0.018569006,-0.003453831
C19orf45,0.018525561,-0.002352642
MLLT11,0.018510729,0.001407734
NHLH1,0.01850051,0.005165559
SYCE2,0.018493015,0.002294573
HRK,0.01847399,0.012148294
TNFRSF25,0.01845989,0.004609755
GPR137C,0.018456587,0.002112573
RGS8,0.018434957,0.005125293
SYNPR,0.018424212,-0.00193634
ACRV1,0.018421805,-0.005790713
ARHGEF39,0.018420566,0.005028237
RAD51AP1,0.018380864,0.007613393
GRIA2,0.018377015,-0.013674949
CDC7,0.018331749,0.007919853
RGS17,0.018322196,-0.005645971
LMNB1,0.018299733,0.009739922
SLIT1,0.018277063,-0.004914741
INHBE,0.018275692,-0.00633956
CCNB1,0.01824069,0.006622286
BLM,0.018207347,0.009643699
ARHGAP11B,0.01819425,0.006409763
HCN3,0.018145784,-6.77831e-4
CLVS1,0.018131281,0.001811913
ELFN2,0.018103937,-0.002478878
TMEM249,0.018074408,0.001196557
LRFN2,0.018066144,-0.003400911
TFAP2B,0.018065312,-7.37361e-4
TRIP13,0.018028449,0.011477709
GPR12,0.017979678,-5.12181e-4
CCNE1,0.017963965,0.005219064
NPTX1,0.017933066,3.94799e-4
PRR11,0.017922764,0.011413212
BRINP2,0.01789304,-0.002971501
STMN4,0.017891476,-0.008823782
KIF18A,0.017889629,0.012193964
RTL1,0.01787162,-8.85874e-4
FOXI3,0.017862829,0.008727408
ATP4A,0.017849866,0.002293721
ATAD5,0.017836798,0.004101853
PCSK1N,0.01782822,-0.002617631
ZNF711,0.017823344,-0.002838839
KNTC1,0.017816807,0.004342108
UBE2S,0.017813489,0.002913433
C1orf61,0.017810258,0.002792581
HCN2,0.017804916,-8.84327e-4
HIST1H2BO,0.017786444,-0.001319384
RNF182,0.017761254,0.011026155
SLC18A1,0.017749485,-0.007633161
KIF19,0.0177335,0.013774672
APLP1,0.017726751,0.001179193
ELOVL2,0.01771497,-0.018110214
NRCAM,0.017699365,0.001740043
SOX2,0.017686946,0.002359962
SAPCD2,0.01764701,-0.008213011
CDKN2C,0.017625588,0.002594318
NXPH4,0.017615676,-0.018137112
TAC3,0.017613322,0.002345823
GRK1,0.017610147,0.005508342
TCP11X2,0.017600726,0.002543321
MND1,0.017595285,0.006994442
NKX6-1,0.017568975,5.24745e-4
COX6B2,0.017530224,0.002601662
CRMP1,0.017527354,0.002405866
SYP,0.017520666,0.002448692
CALCA,0.017518526,-0.004540466
SLC5A12,0.017517028,0.006348511
INSRR,0.017493947,-0.013767592
TIGD3,0.017492802,0.002588714
COL11A1,0.017474432,0.015687007
HPCA,0.017459021,-0.004789614
TMEM74,0.017447407,3.47367e-4
USH1C,0.017434567,0.005651607
RNFT2,0.01741758,0.007978698
ECT2,0.017381017,0.007918174
HOXD4,0.017374107,-0.008394187
CBS,0.017373541,-0.006646114
CSAG1,0.017341204,0.003828271
